library,model_name,numberOfCategoricalFeatures,numberOfNumericalFeatures,meanUniqueNumericalValues,meanUniqueCategoricalValues,meanNumberMissing,number_of_instances,ACC
mlr,classif.ada,2,12,236.16666666666666,2,0,506,0.8854
mlr,classif.binomial,2,12,236.16666666666666,2,0,506,0.8596
mlr,classif.binomial,2,12,236.16666666666666,2,0,506,0.8655
mlr,classif.binomial,2,12,236.16666666666666,2,0,506,0.8556
mlr,classif.binomial,2,12,236.16666666666666,2,0,506,0.8537
mlr,classif.ada,2,12,236.16666666666666,2,0,506,0.8893
mlr,classif.boosting,2,12,236.16666666666666,2,0,506,0.8834
mlr,classif.kknn,2,12,236.16666666666666,2,0,506,0.8715
mlr,classif.kknn,10,0,NaN,4.3,8,286,0.7364
caret,treebag,10,0,NaN,4.3,8,286,0.6931
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9556
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9566
mlr,classif.binomial,5,16,1024.9375,3.8,0,5000,0.8578
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9566
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9552
mlr,classif.ada,5,16,1024.9375,3.8,0,5000,0.9546
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9552
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9552
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9566
mlr,classif.binomial,5,16,1024.9375,3.8,0,5000,0.8554
mlr,classif.kknn,5,16,1024.9375,3.8,0,5000,0.882
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9566
mlr,classif.binomial,5,16,1024.9375,3.8,0,5000,0.854
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9556
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9556
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9552
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9566
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9556
mlr,classif.ada,5,16,1024.9375,3.8,0,5000,0.9556
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9552
mlr,classif.ranger,5,16,1024.9375,3.8,0,5000,0.9556
mlr,classif.binomial,5,16,1024.9375,3.8,0,5000,0.8948
mlr,classif.cforest,14,7,145.85714285714286,4,0,1000,0.742
mlr,classif.randomForest,14,7,145.85714285714286,4,0,1000,0.756
mlr,classif.randomForest,14,7,145.85714285714286,4,0,1000,0.746
mlr,classif.randomForest,14,7,145.85714285714286,4,0,1000,0.751
mlr,classif.cforest,14,7,145.85714285714286,4,0,1000,0.744
mlr,classif.randomForest,14,7,145.85714285714286,4,0,1000,0.735
mlr,classif.cforest,14,7,145.85714285714286,4,0,1000,0.746
mlr,classif.cforest,14,7,145.85714285714286,4,0,1000,0.748
mlr,classif.randomForest,14,7,145.85714285714286,4,0,1000,0.748
mlr,classif.cforest,14,7,145.85714285714286,4,0,1000,0.744
mlr,classif.cforest,14,7,145.85714285714286,4,0,1000,0.755
mlr,classif.cforest,14,7,145.85714285714286,4,0,1000,0.742
mlr,classif.cforest,14,7,145.85714285714286,4,0,1000,0.743
mlr,classif.cforest,14,7,145.85714285714286,4,0,1000,0.748
mlr,classif.randomForest,14,7,145.85714285714286,4,0,1000,0.753
mlr,classif.randomForest,14,7,145.85714285714286,4,0,1000,0.743
mlr,classif.randomForest,14,7,145.85714285714286,4,0,1000,0.745
mlr,classif.randomForest,14,7,145.85714285714286,4,0,1000,0.751
mlr,classif.ada,1,8,156.75,2,0,768,0.7578
mlr,classif.mda,1,8,156.75,2,0,768,0.7513
mlr,classif.naiveBayes,1,8,156.75,2,0,768,0.7565
mlr,classif.logreg,1,8,156.75,2,0,768,0.7772939
mlr,classif.ada,1,8,156.75,2,0,768,0.7499
mlr,classif.randomForest,1,8,156.75,2,0,768,0.7605
caret,glm,1,8,156.75,2,0,768,0.7655292
mlr,classif.kknn,1,8,156.75,2,0,768,0.7435
mlr,classif.gbm,2,7,2694,4.5,0,45312,0.7724
mlr,classif.gbm,2,7,2694,4.5,0,45312,0.5755
