MSE,RMS,MAE,R2,ACC,AUC,SPE,REC,PRE,F1,model_ID
1.2422,1.1145,0.5167,0.283,NA,NA,NA,NA,NA,NA,dfc2bc8935e3e39a3e62515fc3cd35e8
0.6514,0.8071,0.4016,0.5802,NA,NA,NA,NA,NA,NA,f0ce2780fe556a02501390dd5761681a
0.503,0.7092,0.3479,0.664,NA,NA,NA,NA,NA,NA,fb0961ce3dba82a80288a5c1aaad2d9b
0.1714,0.414,0.2597,0.8166,NA,NA,NA,NA,NA,NA,fe1a5f57410f48944387aab71e0e7660
93.0654,9.647,6.0735,0.725,NA,NA,NA,NA,NA,NA,0f163b2107ff07160873f7a454e90dcf
93.0643,9.647,6.0724,0.725,NA,NA,NA,NA,NA,NA,242c11c7a1acbc8cb0afc81379ea5195
1653120.9298,1285.7375,534.9305,-4890.4307,NA,NA,NA,NA,NA,NA,47109e5b21fa9703fdeab1819cce3f32
55.5132,7.4507,2.948,0.8361,NA,NA,NA,NA,NA,NA,4a6baab36d4f2bcc7fdb9485d1243b79
93.0643,9.647,6.0724,0.725,NA,NA,NA,NA,NA,NA,8c856804248bd4564313d81ba21cc177
575.9387,23.9987,4.0767,-0.8078,NA,NA,NA,NA,NA,NA,a2ed3c2dff709da720423542d003c5e8
93.0654,9.647,6.0735,0.725,NA,NA,NA,NA,NA,NA,a8803b58aa1e837557f2390a0352d7f1
22.4226,4.7353,2.3356,0.9338,NA,NA,NA,NA,NA,NA,afcdc139e7de398cb5ad105dc3654e89
93.0555,9.6465,6.0744,0.725,NA,NA,NA,NA,NA,NA,f162ec892f8269cd9fa127d837e82a96
NA,NA,NA,NA,0.742,0.7893,0.3084,0.9269,0.7582,0.8339,0f66850a017e64303e1854bcda3d26c7
NA,NA,NA,NA,0.756,0.7819,0.3868,0.9141,0.7767,0.8394,2baec6ed747ea14b697664f0d7dfb380
NA,NA,NA,NA,0.746,0.79,0.3782,0.9025,0.7728,0.8322,3bece361c041162246b35a6e487c48cb
NA,NA,NA,NA,0.751,0.7828,0.3885,0.9053,0.776,0.8354,3d8ff7099ef9bf03a1375a427b7b984c
NA,NA,NA,NA,0.744,0.7925,0.3522,0.911,0.767,0.8325,40e0cd2e72474a5c60fb2e3c5a7dcb19
NA,NA,NA,NA,0.735,0.7678,0.3735,0.8883,0.7691,0.824,4e3738daaccd5451e60031cd99ed9430
NA,NA,NA,NA,0.746,0.7833,0.3428,0.9182,0.7655,0.8347,561cf16583c76962a5d9cea1256a33cf
NA,NA,NA,NA,0.748,0.7911,0.3569,0.9154,0.7688,0.8354,67a44563b60e6134c6685c6d6950171e
NA,NA,NA,NA,0.748,0.7896,0.3921,0.8997,0.7759,0.8328,6a52bf0962ba725f86c14be318d98396
NA,NA,NA,NA,0.744,0.7914,0.3237,0.9239,0.7613,0.8344,90cc3cfab81c72a3f18f8af273b720f5
NA,NA,NA,NA,0.755,0.7884,0.3552,0.9256,0.7705,0.8407,9e9619ec2b07855e26a0e3cf980bf60d
NA,NA,NA,NA,0.742,0.7869,0.2898,0.9354,0.7543,0.835,a7692edc25ec5675db6e5a844480290f
NA,NA,NA,NA,0.743,0.7882,0.3333,0.9183,0.7626,0.8331,c96384def4947fd42df6549c738cb25a
NA,NA,NA,NA,0.748,0.7891,0.3067,0.9368,0.759,0.8385,daf148953fd6d5f148412bc353b35028
NA,NA,NA,NA,0.753,0.7903,0.414,0.8968,0.7826,0.8353,db1814c4178aa2d2eda18118db291c72
NA,NA,NA,NA,0.743,0.7833,0.3782,0.8983,0.7715,0.8299,db9cf99f1e529cea4f31f5bc190ab8ea
NA,NA,NA,NA,0.745,0.7822,0.3743,0.9027,0.7717,0.8317,dc0b02400709e4bcc71492435eed6c10
NA,NA,NA,NA,0.751,0.7767,0.3972,0.9012,0.7784,0.8348,e9689a4ae30f74f000329679102a4be2
2.099e-6,0.0014,0.0011,0.6275,NA,NA,NA,NA,NA,NA,2797201baa56f852d565729b372aca70
2.099e-6,0.0014,0.0011,0.6275,NA,NA,NA,NA,NA,NA,3e6fbbf1d7c00eeca273cab6682d0150
2.099e-6,0.0014,0.0011,0.6275,NA,NA,NA,NA,NA,NA,4d1f2c33f31fec636f75129ab2f5c503
0.0266,0.1631,0.0989,-4723.7982,NA,NA,NA,NA,NA,NA,916022b504e32aaacb1a90952252129a
2.099e-6,0.0014,0.0011,0.6275,NA,NA,NA,NA,NA,NA,93691f57730c7f51086075ab8c01d56d
3.2245e-6,0.0018,0.0014,0.4276,NA,NA,NA,NA,NA,NA,a05766209b426eb6a08855adb9d8d1cb
2.0594e-6,0.0014,0.0011,0.6345,NA,NA,NA,NA,NA,NA,b21f3e5fc5a4950a368d792756f26764
2.099e-6,0.0014,0.0011,0.6275,NA,NA,NA,NA,NA,NA,b498b1155386f37ae4bae9e6696ece6a
2.036e-6,0.0014,0.0011,0.6387,NA,NA,NA,NA,NA,NA,caed50e49efc97198d42c307a2b7f1af
84106.4421,290.0111,114.4616,-30.1922,NA,NA,NA,NA,NA,NA,17efffb0e07e52ca96d0131c670937d7
1066.6558,32.6597,23.9077,0.4091,NA,NA,NA,NA,NA,NA,1c71cc5568b9b468a3dddb1fe762249d
1716.5392,41.4311,30.6931,-0.006,NA,NA,NA,NA,NA,NA,5a2a8d8446155586f423a66795969f7c
1066.6558,32.6597,23.9077,0.4091,NA,NA,NA,NA,NA,NA,5c53f4d0d6b198e4c7a8841107b69ded
84106.4418,290.0111,114.4616,-30.1922,NA,NA,NA,NA,NA,NA,6c09a39780c86bb2f4f95676753e5fee
2058.6454,45.3723,31.1047,0.1596,NA,NA,NA,NA,NA,NA,7d967564a3a2aed8ce58865f83214206
1748.5936,41.8162,29.5707,0.0111,NA,NA,NA,NA,NA,NA,82f6922eb1be0fe1ae2ce02655d30eeb
1414.2251,37.6062,31.132,0.067,NA,NA,NA,NA,NA,NA,9c073d2b04cc323ff7238a3acd7b8877
84103.5794,290.0062,114.4644,-30.1903,NA,NA,NA,NA,NA,NA,a85360de6fdc94efefdb3f4c3aa2cf3f
NA,NA,NA,NA,0.7578,0.8172,0.6265,0.8312,0.802,0.8155,0ddd3244e881e693cfbb0715286e3017
NA,NA,NA,NA,0.7513,0.7879,0.5168,0.8756,0.7714,0.8197,2ecb5988c188c4a3b051ba7c220a3dd7
NA,NA,NA,NA,0.7565,0.8097,0.5955,0.8422,0.7951,0.8174,54f0a51f1ac62c22dc0f75ef09d30cce
NA,NA,NA,NA,0.7772939,0.8284589,0.5767741,0.8814141,0.7974684,0.836508,58e60ff18122fdf4ca84d143ee313e7b
NA,NA,NA,NA,0.7499,0.8173,0.5911,0.8371,0.7893,0.812,74724fe32e8452c13c9703348199d6e1
NA,NA,NA,NA,0.7605,0.8261,0.5956,0.8523,0.7969,0.8224,75e556e26ffc96fc9b0982c26c081331
