"","model","ntrees","mtry","nodesize","target"
"1104","classif.randomForest",6650,"1","1",0.5808
"1105","classif.randomForest",4550,"4","1",0.5742
"1106","classif.randomForestSRC",5450,"3","2",0.6001
"1107","classif.randomForestSRC",5750,"1","3",0.6278
"1108","classif.randomForestSRC",650,"3","2",0.6067
"1109","classif.randomForest",8450,"4","1",0.5786
"1110","classif.randomForestSRC",6350,"2","1",0.593
"1111","classif.randomForestSRC",9050,"2","7",0.6206
"1112","classif.randomForestSRC",7250,"2","2",0.5972
"1113","classif.randomForestSRC",3050,"4","1",0.5867
"1114","classif.randomForestSRC",2750,"2","2",0.5932
"1115","classif.randomForestSRC",3350,"2","1",0.593
"1116","classif.randomForestSRC",7850,"1","1",0.629
"1117","classif.randomForest",3650,"4","3",0.5866
"1118","classif.cforest",9050,"3","1",0.6267
"1119","classif.randomForest",350,"2","3",0.6002
"1120","classif.randomForest",1250,"1","2",0.5808
"1121","classif.randomForestSRC",2750,"2","1",0.59
"1122","classif.randomForestSRC",7850,"4","3",0.5954
"1123","classif.randomForestSRC",1850,"3","3",0.5984
"1124","classif.randomForestSRC",4850,"2","1",0.5962
"1125","classif.randomForestSRC",8150,"1","3",0.6274
"1126","classif.randomForest",2450,"3","7",0.5994
"1127","classif.randomForest",4250,"2","1",0.5911
"1128","classif.cforest",5450,"4","1",0.6211
"1129","classif.randomForest",6950,"2","1",0.5931
"1130","classif.cforest",1250,"2","1",0.6321
"1131","classif.randomForest",6050,"4","3",0.584
"1132","classif.cforest",6350,"2","1",0.6303
"1133","classif.cforest",6950,"4","1",0.6235
"1134","classif.randomForest",2150,"4","2",0.5654
"1135","classif.randomForest",2150,"1","2",0.5805
"1136","classif.randomForestSRC",1550,"4","3",0.5859
"1137","classif.randomForestSRC",3650,"1","1",0.6275
"1138","classif.randomForest",4550,"1","3",0.5858
"1139","classif.cforest",5750,"3","2",0.633
"1140","classif.randomForestSRC",9350,"4","3",0.5949
"1141","classif.randomForestSRC",6350,"2","2",0.5991
"1142","classif.cforest",8450,"4","1",0.624
"1143","classif.randomForestSRC",50,"1","1",0.6189
"1144","classif.randomForestSRC",6650,"1","7",0.6283
"1145","classif.randomForestSRC",50,"3","1",0.586
"1146","classif.randomForest",1550,"4","2",0.5745
"1147","classif.randomForest",8450,"1","7",0.5907
"1148","classif.randomForest",650,"1","1",0.5934
"1149","classif.h2o.randomForest",3200,"2","3200",0.5932
"1150","classif.randomForestSRC",8750,"2","7",0.6243
"1151","classif.cforest",3350,"1","2",0.6259
"1152","classif.randomForest",9650,"4","3",0.5782
"1153","classif.randomForestSRC",950,"2","3",0.6092
"1154","classif.randomForest",5750,"3","1",0.5745
"1155","classif.randomForestSRC",950,"3","3",0.6023
"1156","classif.randomForest",7550,"1","7",0.5936
"1157","classif.randomForestSRC",2450,"1","3",0.6255
"1158","classif.randomForestSRC",3350,"3","1",0.5891
"1159","classif.randomForestSRC",1550,"3","3",0.5896
"1160","classif.randomForestSRC",6350,"4","2",0.5878
"1161","classif.randomForest",4550,"4","7",0.5944
"1162","classif.randomForestSRC",4850,"4","3",0.5979
"1163","classif.randomForest",3650,"1","2",0.5863
"1164","classif.cforest",1850,"1","1",0.6263
"1165","classif.randomForest",4250,"2","2",0.5843
"1166","classif.randomForestSRC",950,"4","2",0.5907
"1167","classif.randomForest",2450,"1","7",0.5896
"1168","classif.randomForest",8150,"2","7",0.6037
"1169","classif.randomForest",5150,"4","2",0.573
"1170","classif.cforest",350,"3","1",0.6307
"1171","classif.randomForestSRC",8450,"3","2",0.5957
"1172","classif.h2o.randomForest",4200,"1","4200",0.6158
"1173","classif.randomForestSRC",4850,"2","7",0.6244
"1174","classif.cforest",950,"4","1",0.6217
"1175","classif.randomForest",7550,"3","2",0.5783
"1176","classif.cforest",50,"4","1",0.6483
"1177","classif.randomForest",4250,"3","7",0.603
"1178","classif.randomForest",5150,"1","1",0.5809
"1179","classif.randomForest",6650,"2","2",0.5978
"1180","classif.randomForest",5150,"1","3",0.5827
"1181","classif.randomForest",4850,"4","2",0.5724
"1182","classif.cforest",1550,"2","1",0.6355
"1183","classif.cforest",6650,"4","1",0.6235
"1184","classif.randomForest",9050,"2","7",0.6065
"1185","classif.randomForestSRC",7250,"3","1",0.5878
"1186","classif.randomForestSRC",1550,"2","1",0.59
"1187","classif.randomForestSRC",3950,"2","3",0.6115
"1188","classif.cforest",6050,"3","2",0.6312
"1189","classif.cforest",8450,"2","2",0.632
"1190","classif.randomForest",3050,"3","2",0.5832
"1191","classif.randomForest",8750,"4","3",0.5839
"1192","classif.randomForestSRC",9350,"3","1",0.5917
"1193","classif.randomForestSRC",2750,"1","1",0.6269
"1194","classif.randomForestSRC",50,"3","2",0.5623
"1195","classif.randomForestSRC",3350,"2","3",0.5997
"1196","classif.randomForest",3650,"2","3",0.5989
"1197","classif.randomForest",7550,"4","1",0.5749
"1198","classif.cforest",2450,"1","2",0.6256
"1199","classif.cforest",6650,"1","2",0.6251
"1200","classif.randomForestSRC",350,"4","1",0.5915
"1201","classif.randomForestSRC",2150,"3","2",0.595
"1202","classif.randomForest",8150,"2","2",0.5944
"1203","classif.randomForestSRC",1250,"4","2",0.5953
"1204","classif.randomForestSRC",4850,"2","2",0.5996
"1205","classif.randomForest",4850,"2","7",0.6029
"1206","classif.randomForestSRC",4250,"3","2",0.5877
"1207","classif.randomForest",4850,"2","2",0.5926
"1208","classif.cforest",350,"1","1",0.615
"1209","classif.randomForestSRC",6350,"2","7",0.6205
"1210","classif.randomForest",6950,"4","2",0.5738
"1211","classif.h2o.randomForest",2200,"1","2200",0.6196
"1212","classif.randomForest",3650,"4","2",0.5664
"1213","classif.cforest",7850,"1","1",0.6264
"1214","classif.cforest",7550,"4","1",0.6247
"1215","classif.randomForestSRC",50,"4","1",0.6457
"1216","classif.cforest",3650,"1","2",0.6253
"1217","classif.randomForest",2750,"3","7",0.6044
"1218","classif.cforest",6050,"1","2",0.6246
"1219","classif.randomForest",1850,"1","3",0.5972
"1220","classif.cforest",5450,"2","1",0.6327
"1221","classif.randomForest",350,"3","7",0.5976
"1222","classif.randomForestSRC",3950,"2","1",0.5999
"1223","classif.randomForestSRC",5750,"1","1",0.6298
"1224","classif.h2o.randomForest",5400,"2","5400",0.6041
"1225","classif.randomForest",1850,"1","7",0.5842
"1226","classif.randomForest",350,"3","2",0.5852
"1227","classif.cforest",3350,"2","1",0.6309
"1228","classif.randomForest",50,"1","2",0.5147
"1229","classif.randomForestSRC",5150,"4","3",0.5921
"1230","classif.randomForest",3050,"2","7",0.595
"1231","classif.randomForest",9050,"2","3",0.5968
"1232","classif.randomForest",6050,"3","1",0.5732
"1233","classif.randomForest",650,"1","3",0.5746
"1234","classif.randomForest",5450,"3","7",0.5996
"1235","classif.randomForest",9050,"4","7",0.5968
"1236","classif.randomForestSRC",2150,"4","7",0.5947
"1237","classif.h2o.randomForest",9600,"2","9600",0.6104
"1238","classif.randomForestSRC",650,"2","7",0.6209
"1239","classif.randomForestSRC",2150,"2","2",0.6014
"1240","classif.randomForestSRC",3650,"3","7",0.6006
"1241","classif.h2o.randomForest",3700,"1","3700",0.6203
"1242","classif.randomForestSRC",350,"2","1",0.5926
"1243","classif.randomForestSRC",3350,"2","7",0.6226
"1244","classif.cforest",3350,"2","2",0.6309
"1245","classif.randomForest",5750,"4","1",0.5735
"1246","classif.randomForestSRC",6950,"1","1",0.6263
"1247","classif.randomForest",4250,"3","3",0.5875
"1248","classif.randomForestSRC",1550,"4","7",0.5897
"1249","classif.randomForestSRC",650,"2","1",0.6018
"1250","classif.randomForest",9050,"1","2",0.5759
"1251","classif.h2o.randomForest",9200,"1","9200",0.6166
"1252","classif.cforest",8450,"2","1",0.632
"1253","classif.randomForestSRC",7250,"3","3",0.5931
"1254","classif.randomForest",3050,"2","2",0.5955
"1255","classif.randomForest",7550,"2","7",0.6027
"1256","classif.randomForestSRC",3950,"1","1",0.6247
"1257","classif.cforest",8750,"2","1",0.6314
"1258","classif.randomForestSRC",6950,"2","1",0.6008
"1259","classif.randomForestSRC",8750,"3","2",0.591
"1260","classif.randomForest",1250,"4","7",0.5901
"1261","classif.cforest",650,"4","1",0.6255
"1262","classif.randomForestSRC",7550,"1","2",0.6302
"1263","classif.randomForestSRC",6350,"1","2",0.6344
"1264","classif.randomForest",7850,"3","2",0.5831
"1265","classif.randomForest",1850,"3","1",0.5669
"1266","classif.randomForestSRC",3350,"3","7",0.5997
"1267","classif.randomForest",2450,"2","2",0.6048
"1268","classif.randomForest",1250,"2","1",0.5949
"1269","classif.h2o.randomForest",9600,"2","9600",0.6001
"1270","classif.randomForestSRC",650,"1","1",0.6297
"1271","classif.randomForest",4550,"4","2",0.5676
"1272","classif.randomForestSRC",6950,"3","3",0.5983
"1273","classif.randomForestSRC",650,"4","1",0.5965
"1274","classif.randomForest",50,"1","1",0.5747
"1275","classif.randomForest",1550,"1","3",0.5946
"1276","classif.randomForest",3950,"4","3",0.5932
"1277","classif.randomForest",650,"3","3",0.5771
"1278","classif.randomForestSRC",350,"3","1",0.5928
"1279","classif.cforest",650,"2","1",0.6249
"1280","classif.h2o.randomForest",8200,"2","8200",0.6092
"1281","classif.h2o.randomForest",6100,"2","6100",0.6124
"1282","classif.cforest",4850,"3","2",0.6283
"1283","classif.randomForestSRC",950,"1","7",0.6339
"1284","classif.randomForestSRC",9050,"2","1",0.5954
"1285","classif.cforest",3050,"2","2",0.6333
"1286","classif.randomForestSRC",8450,"4","2",0.5929
"1287","classif.randomForest",4550,"1","2",0.5754
"1288","classif.randomForest",950,"3","3",0.5792
"1289","classif.randomForestSRC",9350,"4","7",0.5971
"1290","classif.randomForestSRC",5450,"4","7",0.5976
"1291","classif.randomForestSRC",7550,"4","1",0.5885
"1292","classif.randomForestSRC",1250,"4","7",0.5974
"1293","classif.randomForestSRC",2450,"4","3",0.5939
"1294","classif.randomForestSRC",9350,"2","7",0.6234
"1295","classif.randomForest",9350,"1","3",0.5764
"1296","classif.randomForest",6350,"1","7",0.5959
"1297","classif.randomForest",6350,"4","1",0.5778
"1298","classif.randomForest",8450,"3","3",0.5854
"1299","classif.randomForest",5450,"3","1",0.5704
"1300","classif.randomForestSRC",6950,"3","1",0.5916
"1301","classif.randomForest",8750,"4","1",0.5772
"1302","classif.randomForest",9350,"2","2",0.5901
"1303","classif.randomForest",1850,"4","7",0.5952
"1304","classif.randomForest",5750,"1","3",0.5904
"1305","classif.randomForest",1250,"3","2",0.5787
"1306","classif.h2o.randomForest",1900,"2","1900",0.6093
"1307","classif.randomForest",6650,"2","7",0.6038
"1308","classif.randomForest",5450,"4","3",0.5778
"1309","classif.randomForestSRC",3650,"3","1",0.5895
"1310","classif.randomForest",950,"1","2",0.5706
"1311","classif.randomForestSRC",350,"1","7",0.6339
"1312","classif.randomForest",8150,"1","2",0.5737
"1313","classif.randomForest",7550,"1","3",0.5859
"1314","classif.randomForestSRC",4550,"2","3",0.6067
"1315","classif.randomForest",5150,"1","7",0.5906
"1316","classif.randomForest",6050,"2","7",0.6028
"1317","classif.cforest",6050,"2","2",0.6297
"1318","classif.randomForest",9050,"2","1",0.5917
"1319","classif.randomForest",950,"2","1",0.6016
"1320","classif.randomForest",4250,"2","3",0.5976
"1321","classif.randomForestSRC",4250,"4","1",0.5932
"1322","classif.randomForest",5750,"2","7",0.6038
"1323","classif.randomForestSRC",9050,"3","1",0.5887
"1324","classif.randomForest",7550,"1","1",0.5799
"1325","classif.randomForestSRC",1250,"3","2",0.5941
"1326","classif.randomForest",950,"1","7",0.5934
"1327","classif.randomForestSRC",3050,"2","3",0.6124
"1328","classif.randomForest",950,"3","7",0.5929
"1329","classif.cforest",2150,"2","1",0.634
"1330","classif.randomForest",50,"3","7",0.619
"1331","classif.randomForestSRC",1850,"3","1",0.594
"1332","classif.randomForest",6350,"3","7",0.6025
"1333","classif.cforest",9650,"3","1",0.6278
"1334","classif.cforest",6950,"3","1",0.6329
"1335","classif.randomForest",350,"4","2",0.558
"1336","classif.cforest",3950,"3","2",0.6323
"1337","classif.randomForest",7850,"1","2",0.5731
"1338","classif.randomForest",6350,"2","1",0.5889
"1339","classif.randomForest",2450,"1","2",0.5744
"1340","classif.randomForestSRC",3050,"3","7",0.605
"1341","classif.randomForestSRC",3950,"2","2",0.5998
"1342","classif.randomForestSRC",8150,"2","1",0.5905
"1343","classif.randomForest",6350,"3","3",0.5926
"1344","classif.randomForestSRC",3650,"2","1",0.5939
"1345","classif.randomForestSRC",9950,"4","7",0.5983
"1346","classif.randomForest",1250,"2","2",0.6036
"1347","classif.cforest",950,"2","1",0.627
"1348","classif.cforest",6950,"2","1",0.6314
"1349","classif.randomForestSRC",3350,"3","2",0.5965
"1350","classif.randomForestSRC",3950,"4","1",0.5918
"1351","classif.randomForestSRC",8750,"2","2",0.5988
"1352","classif.randomForest",4250,"4","7",0.5917
"1353","classif.cforest",2750,"1","1",0.6268
"1354","classif.randomForest",350,"4","1",0.5632
"1355","classif.randomForestSRC",5150,"2","2",0.5935
"1356","classif.cforest",9350,"1","1",0.6279
"1357","classif.randomForest",9950,"3","3",0.5821
"1358","classif.randomForest",5750,"1","2",0.5885
"1359","classif.randomForestSRC",6050,"1","1",0.6294
"1360","classif.randomForestSRC",950,"4","7",0.5973
"1361","classif.cforest",1250,"4","1",0.6205
"1362","classif.randomForestSRC",6950,"1","2",0.6302
"1363","classif.randomForest",3650,"2","1",0.5992
"1364","classif.randomForestSRC",3950,"4","2",0.5939
"1365","classif.randomForestSRC",4550,"3","2",0.5943
"1366","classif.randomForestSRC",3950,"1","2",0.6267
"1367","classif.randomForest",8450,"3","2",0.5813
"1368","classif.randomForest",6350,"4","2",0.5725
"1369","classif.randomForest",6950,"4","1",0.5763
"1370","classif.cforest",8150,"2","2",0.632
"1371","classif.randomForestSRC",8150,"1","1",0.6324
"1372","classif.h2o.randomForest",7700,"1","7700",0.6182
"1373","classif.randomForestSRC",5750,"3","1",0.5888
"1374","classif.cforest",2450,"1","1",0.6256
