"","model","ntrees","mtry","nodesize","target"
"225","classif.randomForest",2450,"4","1",0.5691
"226","classif.randomForest",950,"4","1",0.5786
"227","classif.randomForestSRC",7550,"4","7",0.5943
"228","classif.randomForestSRC",1850,"4","7",0.6015
"229","classif.randomForestSRC",8150,"4","3",0.5954
"230","classif.randomForestSRC",6050,"4","1",0.587
"231","classif.randomForestSRC",650,"1","3",0.6181
"232","classif.randomForestSRC",4250,"1","7",0.6265
"233","classif.cforest",9950,"2","1",0.6326
"234","classif.randomForest",3050,"3","1",0.5724
"235","classif.randomForestSRC",7250,"1","7",0.6293
"236","classif.randomForestSRC",4250,"2","3",0.6089
"237","classif.randomForestSRC",50,"2","3",0.6078
"238","classif.randomForestSRC",50,"2","7",0.6094
"239","classif.randomForest",6950,"1","3",0.5866
"240","classif.randomForest",9950,"2","2",0.5947
"241","classif.cforest",1550,"2","2",0.6355
"242","classif.randomForestSRC",9050,"4","1",0.592
"243","classif.randomForestSRC",950,"2","7",0.623
"244","classif.randomForest",650,"2","3",0.5906
"245","classif.cforest",4550,"2","1",0.635
"246","classif.cforest",4850,"2","2",0.6333
"247","classif.h2o.randomForest",7500,"2","7500",0.5954
"248","classif.cforest",3650,"3","2",0.6323
"249","classif.randomForest",4850,"3","7",0.5993
"250","classif.randomForest",1250,"1","7",0.5814
"251","classif.randomForestSRC",8150,"2","2",0.6004
"252","classif.randomForest",7550,"4","7",0.5929
"253","classif.cforest",4850,"2","1",0.6333
"254","classif.randomForest",9050,"1","3",0.5802
"255","classif.randomForest",9350,"3","1",0.5718
"256","classif.randomForestSRC",1850,"2","7",0.6307
"257","classif.randomForestSRC",9950,"4","1",0.5897
"258","classif.randomForestSRC",950,"1","1",0.6274
"259","classif.randomForestSRC",7250,"1","1",0.6293
"260","classif.randomForest",9950,"3","7",0.6031
"261","classif.cforest",9350,"4","1",0.6229
"262","classif.randomForest",1850,"1","2",0.5859
"263","classif.cforest",7250,"4","1",0.6247
"264","classif.randomForest",4250,"1","2",0.5831
"265","classif.randomForest",2450,"2","1",0.5878
"266","classif.cforest",6650,"2","2",0.6314
"267","classif.randomForest",50,"3","3",0.5762
"268","classif.randomForest",6050,"1","1",0.5808
"269","classif.randomForest",1850,"4","1",0.5605
"270","classif.randomForest",950,"2","2",0.6028
"271","classif.randomForestSRC",7550,"4","3",0.5939
"272","classif.randomForestSRC",9050,"2","2",0.5977
"273","classif.randomForest",1550,"3","3",0.5793
"274","classif.randomForest",2750,"2","2",0.5964
"275","classif.randomForestSRC",7250,"3","7",0.5995
"276","classif.randomForestSRC",2750,"4","3",0.5882
"277","classif.randomForest",2450,"2","7",0.5925
"278","classif.randomForest",9950,"3","2",0.5785
"279","classif.randomForestSRC",9650,"4","1",0.5911
"280","classif.randomForest",5750,"1","1",0.5797
"281","classif.randomForestSRC",9050,"3","3",0.5959
"282","classif.randomForest",7250,"4","2",0.5768
"283","classif.h2o.randomForest",5400,"2","5400",0.6035
"284","classif.randomForestSRC",4850,"4","2",0.5942
"285","classif.randomForestSRC",3050,"2","7",0.6219
"286","classif.randomForest",3950,"1","2",0.5825
"287","classif.randomForest",6650,"3","2",0.5844
"288","classif.randomForest",2150,"3","1",0.5614
"289","classif.randomForestSRC",3350,"4","3",0.5992
"290","classif.randomForest",5150,"4","7",0.5968
"291","classif.randomForestSRC",7850,"1","7",0.6272
"292","classif.randomForest",6650,"3","3",0.5893
"293","classif.randomForestSRC",5750,"4","3",0.5921
"294","classif.randomForestSRC",6950,"3","2",0.5929
"295","classif.h2o.randomForest",5200,"1","5200",0.618
"296","classif.randomForestSRC",1850,"2","3",0.6058
"297","classif.randomForestSRC",7850,"4","1",0.5904
"298","classif.randomForestSRC",4850,"2","3",0.6116
"299","classif.randomForestSRC",1250,"3","1",0.5819
"300","classif.cforest",3950,"1","1",0.6252
"301","classif.randomForest",6950,"3","3",0.5856
"302","classif.randomForest",7850,"3","7",0.603
"303","classif.randomForest",9650,"4","2",0.5739
"304","classif.randomForestSRC",1550,"1","2",0.6227
"305","classif.randomForestSRC",350,"2","7",0.6173
"306","classif.randomForestSRC",2750,"1","3",0.6265
"307","classif.randomForest",9350,"1","7",0.5921
"308","classif.randomForest",650,"1","2",0.5779
"309","classif.cforest",9950,"2","2",0.6326
"310","classif.randomForest",8450,"2","2",0.5944
"311","classif.randomForestSRC",9650,"2","7",0.6217
"312","classif.randomForestSRC",1550,"3","1",0.5918
"313","classif.cforest",3050,"4","1",0.6193
"314","classif.randomForest",6950,"4","7",0.5903
"315","classif.h2o.randomForest",6800,"2","6800",0.5972
"316","classif.randomForestSRC",3350,"4","1",0.5775
"317","classif.randomForestSRC",4550,"1","1",0.6283
"318","classif.randomForest",1850,"2","2",0.5971
"319","classif.randomForestSRC",3350,"4","2",0.5912
"320","classif.cforest",6650,"1","1",0.6251
"321","classif.randomForestSRC",5150,"2","3",0.6088
"322","classif.randomForestSRC",9950,"3","3",0.6033
"323","classif.randomForestSRC",6350,"2","3",0.6065
"324","classif.randomForestSRC",3350,"1","1",0.6345
"325","classif.randomForest",3350,"2","7",0.6059
"326","classif.randomForestSRC",9350,"1","2",0.6324
"327","classif.randomForestSRC",8750,"1","7",0.6266
"328","classif.h2o.randomForest",350,"1","350",0.6242
"329","classif.randomForest",8150,"3","7",0.6005
"330","classif.randomForestSRC",6350,"3","7",0.6076
"331","classif.randomForest",7850,"4","3",0.5768
"332","classif.cforest",3950,"1","2",0.6252
"333","classif.randomForestSRC",50,"1","3",0.6172
"334","classif.randomForest",7850,"1","7",0.5908
"335","classif.randomForest",4250,"1","7",0.5866
"336","classif.randomForest",6350,"2","2",0.5959
"337","classif.randomForest",5450,"2","7",0.6046
"338","classif.randomForest",3950,"2","3",0.5937
"339","classif.randomForest",8750,"3","1",0.5715
"340","classif.cforest",3650,"2","1",0.6348
"341","classif.randomForestSRC",4850,"3","3",0.5978
"342","classif.randomForestSRC",9950,"3","1",0.5892
"343","classif.randomForest",7250,"3","3",0.5835
"344","classif.randomForestSRC",6650,"4","7",0.5976
"345","classif.cforest",3650,"4","1",0.6222
"346","classif.randomForest",9050,"2","2",0.5928
"347","classif.randomForestSRC",2750,"1","7",0.6231
"348","classif.cforest",5450,"3","2",0.6296
"349","classif.randomForestSRC",3050,"4","3",0.5959
"350","classif.randomForestSRC",5450,"4","1",0.5861
"351","classif.cforest",5150,"1","2",0.6263
"352","classif.randomForestSRC",2150,"1","3",0.6242
"353","classif.randomForest",6050,"1","2",0.5891
"354","classif.cforest",3950,"3","1",0.6323
"355","classif.randomForest",5450,"1","1",0.5767
"356","classif.randomForest",9650,"1","3",0.5764
"357","classif.randomForest",3950,"2","7",0.5946
"358","classif.randomForest",4250,"4","2",0.5687
"359","classif.randomForestSRC",350,"4","7",0.5976
"360","classif.randomForestSRC",8450,"1","2",0.634
"361","classif.cforest",3950,"4","1",0.6239
"362","classif.randomForest",1250,"2","7",0.5899
"363","classif.randomForestSRC",5150,"3","7",0.6041
"364","classif.randomForestSRC",1250,"4","1",0.5904
"365","classif.h2o.randomForest",1200,"1","1200",0.618
"366","classif.randomForestSRC",9950,"4","2",0.5886
"367","classif.cforest",7250,"2","2",0.6309
"368","classif.randomForestSRC",9650,"1","1",0.6343
"369","classif.h2o.randomForest",1200,"2","1200",0.6141
"370","classif.randomForest",7550,"3","1",0.5765
"371","classif.randomForest",6050,"3","7",0.6052
"372","classif.randomForestSRC",4250,"3","7",0.6009
"373","classif.randomForest",2150,"2","3",0.5934
"374","classif.randomForest",8750,"3","2",0.5803
"375","classif.randomForest",9650,"4","7",0.5954
"376","classif.randomForest",6650,"4","3",0.5861
"377","classif.randomForest",5450,"2","3",0.5957
"378","classif.randomForestSRC",9350,"3","7",0.6065
"379","classif.randomForest",1550,"3","2",0.5772
"380","classif.randomForest",350,"2","7",0.5905
"381","classif.cforest",9950,"1","2",0.6268
"382","classif.randomForest",1250,"4","1",0.566
"383","classif.randomForestSRC",5750,"2","3",0.6087
"384","classif.randomForestSRC",6350,"4","7",0.5976
"385","classif.cforest",2450,"3","1",0.6331
"386","classif.randomForestSRC",3650,"4","2",0.5919
"387","classif.randomForest",3650,"2","2",0.5935
"388","classif.randomForestSRC",6650,"1","3",0.6309
"389","classif.randomForestSRC",9050,"1","3",0.6286
"390","classif.randomForest",350,"2","1",0.6089
"391","classif.randomForest",350,"4","3",0.588
"392","classif.randomForestSRC",7250,"2","3",0.606
"393","classif.randomForestSRC",2150,"1","7",0.6267
"394","classif.randomForestSRC",650,"4","2",0.5917
"395","classif.randomForest",9650,"3","1",0.5734
"396","classif.randomForestSRC",9650,"3","7",0.6059
"397","classif.randomForestSRC",7550,"3","1",0.5922
"398","classif.randomForestSRC",8750,"2","1",0.5943
"399","classif.randomForestSRC",6650,"2","2",0.6041
"400","classif.cforest",3050,"2","1",0.6333
"401","classif.cforest",950,"3","2",0.6287
"402","classif.cforest",4550,"3","2",0.6282
"403","classif.h2o.randomForest",700,"1","700",0.6214
"404","classif.randomForest",5750,"3","7",0.5998
"405","classif.randomForest",3350,"4","3",0.5784
"406","classif.randomForestSRC",4550,"3","1",0.5884
"407","classif.randomForestSRC",4550,"4","7",0.5965
"408","classif.randomForestSRC",5150,"2","1",0.5896
"409","classif.randomForestSRC",50,"2","1",0.5719
"410","classif.cforest",9350,"2","1",0.6308
"411","classif.randomForestSRC",5750,"3","3",0.5981
"412","classif.randomForest",4550,"2","3",0.5968
"413","classif.randomForestSRC",6950,"2","7",0.6224
"414","classif.randomForestSRC",9350,"1","3",0.6287
"415","classif.cforest",6650,"3","2",0.6294
"416","classif.randomForest",7250,"3","7",0.6048
"417","classif.randomForest",6350,"1","3",0.5855
"418","classif.randomForest",5150,"2","2",0.5924
"419","classif.randomForestSRC",7550,"1","7",0.6285
"420","classif.h2o.randomForest",4700,"2","4700",0.6029
"421","classif.randomForestSRC",3950,"3","1",0.5938
"422","classif.cforest",4250,"3","1",0.6288
"423","classif.randomForest",4850,"1","7",0.5933
"424","classif.randomForest",6650,"3","1",0.5709
"425","classif.randomForestSRC",7550,"3","2",0.5937
"426","classif.randomForestSRC",650,"4","7",0.604
"427","classif.randomForest",9050,"4","3",0.5853
"428","classif.randomForestSRC",4250,"1","1",0.6288
"429","classif.randomForestSRC",950,"3","1",0.5816
"430","classif.randomForestSRC",1850,"3","7",0.6089
"431","classif.randomForest",8150,"3","2",0.5843
"432","classif.randomForest",4250,"1","1",0.5747
"433","classif.randomForestSRC",6050,"1","3",0.6296
"434","classif.randomForestSRC",3650,"1","2",0.6302
"435","classif.cforest",9650,"1","1",0.6262
"436","classif.randomForestSRC",8450,"4","7",0.5971
"437","classif.randomForestSRC",6350,"3","3",0.6019
"438","classif.randomForest",5150,"2","1",0.5938
"439","classif.cforest",6350,"3","2",0.6318
"440","classif.randomForest",4850,"3","1",0.5719
"441","classif.cforest",1250,"1","2",0.6248
"442","classif.randomForestSRC",6950,"2","2",0.5985
"443","classif.randomForest",1550,"1","2",0.5778
"444","classif.randomForest",5750,"2","2",0.598
"445","classif.randomForestSRC",7850,"4","2",0.5957
"446","classif.randomForestSRC",9950,"2","3",0.6082
"447","classif.randomForestSRC",3950,"3","3",0.5991
"448","classif.cforest",5150,"2","1",0.6336
"449","classif.randomForestSRC",2150,"3","3",0.5913
"450","classif.randomForestSRC",9950,"3","7",0.6017
"451","classif.randomForest",4250,"2","7",0.6017
"452","classif.randomForestSRC",650,"3","1",0.6011
"453","classif.randomForestSRC",7250,"2","1",0.5928
"454","classif.randomForest",6950,"1","7",0.5888
"455","classif.randomForest",6650,"3","7",0.6049
"456","classif.cforest",1250,"1","1",0.6248
"457","classif.cforest",4250,"1","1",0.6265
"458","classif.randomForest",7550,"2","2",0.5908
"459","classif.randomForestSRC",1850,"4","3",0.597
"460","classif.cforest",8150,"1","1",0.6258
"461","classif.randomForest",4550,"4","3",0.5871
"462","classif.cforest",5150,"3","2",0.6294
"463","classif.randomForestSRC",6650,"3","2",0.5935
"464","classif.randomForestSRC",7550,"2","3",0.6101
"465","classif.randomForest",50,"3","2",0.5774
"466","classif.randomForestSRC",9650,"3","2",0.5959
"467","classif.randomForest",9950,"1","3",0.5755
"468","classif.h2o.randomForest",700,"2","700",0.6075
"469","classif.cforest",4550,"2","2",0.635
"470","classif.randomForest",3050,"3","3",0.5846
"471","classif.randomForest",7850,"4","7",0.594
"472","classif.randomForest",9950,"1","1",0.5762
"473","classif.randomForestSRC",2150,"4","1",0.5926
"474","classif.randomForestSRC",7850,"1","2",0.6287
"475","classif.randomForest",1850,"2","3",0.5865
"476","classif.randomForestSRC",6350,"1","7",0.6266
"477","classif.randomForest",8750,"3","3",0.5843
"478","classif.randomForest",6350,"1","1",0.5825
"479","classif.randomForest",3950,"4","7",0.5927
"480","classif.randomForest",8450,"1","2",0.5757
"481","classif.randomForest",3050,"4","2",0.5739
"482","classif.randomForest",6350,"2","7",0.6024
"483","classif.randomForestSRC",8150,"2","3",0.6069
"484","classif.h2o.randomForest",5700,"1","5700",0.6173
"485","classif.cforest",950,"1","1",0.6229
"486","classif.randomForestSRC",4850,"4","7",0.5943
"487","classif.cforest",50,"2","1",0.618
"488","classif.randomForestSRC",6650,"2","7",0.6225
"489","classif.randomForestSRC",3950,"3","2",0.5963
"490","classif.randomForestSRC",5450,"1","1",0.6322
"491","classif.cforest",650,"3","1",0.6294
"492","classif.cforest",6050,"3","1",0.6312
"493","classif.randomForest",5150,"1","2",0.5833
"494","classif.randomForest",9650,"1","1",0.5772
"495","classif.randomForest",3350,"1","3",0.5916
"496","classif.randomForestSRC",4850,"1","1",0.6248
"497","classif.randomForest",6650,"1","2",0.5844
"498","classif.randomForestSRC",50,"1","7",0.6277
"499","classif.cforest",7250,"1","1",0.6263
"500","classif.randomForest",2150,"4","3",0.5718
"501","classif.cforest",1850,"1","2",0.6263
"502","classif.randomForest",8450,"4","2",0.5754
"503","classif.randomForest",8450,"3","1",0.5749
"504","classif.randomForestSRC",5150,"4","2",0.588
"505","classif.randomForest",6950,"3","2",0.5842
"506","classif.randomForest",5450,"4","1",0.5783
"507","classif.cforest",4250,"3","2",0.6288
"508","classif.randomForestSRC",650,"1","7",0.6325
"509","classif.randomForest",5450,"1","7",0.5948
"510","classif.randomForest",8750,"3","7",0.6044
"511","classif.cforest",9350,"1","2",0.6279
"512","classif.randomForest",7250,"3","2",0.5853
"513","classif.randomForest",1250,"1","3",0.5949
"514","classif.randomForest",950,"2","3",0.5938
"515","classif.randomForest",4550,"3","2",0.5794
"516","classif.randomForest",4550,"3","1",0.5686
"517","classif.randomForestSRC",6650,"3","3",0.5992
"518","classif.cforest",7550,"2","1",0.6303
"519","classif.randomForestSRC",8150,"1","7",0.6271
"520","classif.randomForest",3650,"3","2",0.5782
"521","classif.randomForestSRC",1850,"4","1",0.5871
"522","classif.cforest",3950,"2","2",0.6344
"523","classif.randomForestSRC",50,"2","2",0.5774
"524","classif.randomForest",2150,"3","2",0.5784
"525","classif.randomForest",2450,"4","7",0.5923
"526","classif.randomForest",8450,"3","7",0.6029
"527","classif.randomForest",1550,"2","3",0.5878
"528","classif.randomForestSRC",6950,"4","7",0.5975
"529","classif.cforest",650,"1","2",0.6279
"530","classif.cforest",4250,"4","1",0.6223
"531","classif.randomForest",7250,"2","2",0.5932
"532","classif.cforest",5450,"3","1",0.6296
"533","classif.randomForestSRC",6950,"1","3",0.6307
"534","classif.randomForestSRC",4250,"3","1",0.5918
"535","classif.cforest",50,"3","2",0.6407
"536","classif.randomForestSRC",2150,"1","2",0.6259
"537","classif.randomForest",3350,"3","1",0.5683
"538","classif.cforest",3050,"1","1",0.6251
"539","classif.randomForest",2150,"2","2",0.6047
"540","classif.randomForest",8150,"4","2",0.5738
"541","classif.randomForest",2750,"3","1",0.57
"542","classif.randomForestSRC",6050,"3","7",0.6073
"543","classif.cforest",1850,"2","1",0.6314
"544","classif.h2o.randomForest",4700,"1","4700",0.6175
"545","classif.randomForest",650,"1","7",0.5668
"546","classif.randomForest",3350,"4","2",0.5648
"547","classif.randomForest",9050,"3","2",0.5814
"548","classif.randomForestSRC",9050,"4","2",0.592
"549","classif.randomForestSRC",350,"2","3",0.604
"550","classif.h2o.randomForest",2200,"2","2200",0.5903
