"id","dset","lib","mname","target","columns","insts","model_param","target_iqr","target_diff","target_skewness","binary_factors","factors3to5","big_factors","nonskew_numerics","small_skew_numerics","big_skew_numerics","mse","rmse","mae","r2","metric"
"bccd91c7ebd33b2894ff3da405b40d6b","openml_disclosure_x_tampered","mlr","regr.gausspr","Income",4,662,"regr.gausspr rbfdot",35414.964,245922.51,-0.0757353868833522,0,0,0,3,0,0,918623730.9251,30308.8062,23559.6116,-0.0189,0.123245351554032
"c267b29faa9994fb6eef620ddaa29894","openml_disclosure_x_tampered","mlr","regr.svm","Income",4,662,"regr.svm sigmoid",35414.964,245922.51,-0.0757353868833522,0,0,0,3,0,0,49956409898.6819,223509.3061,151161.3139,-55.2433,0.908860706163092
"cbda0ec8998dfe477e39ef3f3d35856d","openml_disclosure_x_tampered","mlr","regr.gausspr","Income",4,662,"regr.gausspr vanilladot",35414.964,245922.51,-0.0757353868833522,0,0,0,3,0,0,890614838.2614,29843.1707,23024.914,0.0095,0.121351927889806
"ff3ec8c2c01df20c059a11a9032f0d73","openml_disclosure_x_tampered","mlr","regr.plsr","Income",4,662,"regr.plsr simpls",35414.964,245922.51,-0.0757353868833522,0,0,0,3,0,0,890621016.5106,29843.2742,23025.1071,0.0095,0.121352348754085
"0889f68faa9a9c099c2f4a0d00ba38ce","openml_fried","mlr","regr.svm","Y",11,40768,"regr.svm polynomial",7.1102,31.75,-0.00489437709206476,0,0,0,10,0,0,7.1052,2.6655,2.1057,0.7154,0.0839527559055118
"a1021fe18484b3dbc41aaa49e45c2bb8","openml_fried","mlr","regr.svm","Y",11,40768,"regr.svm radial",7.1102,31.75,-0.00489437709206476,0,0,0,10,0,0,1.1139,1.0554,0.8392,0.9554,0.0332409448818898
"a4bfc626e820a03936d7c80b3b47b748","openml_fried","mlr","regr.svm","Y",11,40768,"regr.svm sigmoid",7.1102,31.75,-0.00489437709206476,0,0,0,10,0,0,36993.5534,192.3371,148.7711,-1481.0284,6.05786141732283
"0d6a8d1999153fd9431b8d59b9e8b235","openml_houses","mlr","regr.svm","median_house_value",9,20640,"regr.svm polynomial",145125,485002,0.171748492678725,0,0,0,3,3,2,26813265766.253,163747.5672,58541.9748,-1.1024,0.33762245763935
"98112cf759b8ef551673c42addd2e902","openml_houses","mlr","regr.svm","median_house_value",9,20640,"regr.svm sigmoid",145125,485002,0.171748492678725,0,0,0,3,3,2,2869359629801980,53566403.9282,19431432.6991,-215533.4636,110.445738220049
"d86a699f0785a2cfdde15f19d0eb6741","openml_houses","mlr","regr.svm","median_house_value",9,20640,"regr.svm radial",145125,485002,0.171748492678725,0,0,0,3,3,2,3255065774.5014,57053.1837,38144.417,0.7553,0.117634945216721
"391fa8395098746164d8e18efc4bb16d","openml_hutsof99_logis","mlr","regr.plsr","Quality",8,70,"regr.plsr oscorespls",14.2575,49.04,0.113799754515168,3,1,0,3,0,0,79.8056,8.9334,7.2056,0.2461,0.182165579119086
"4150a0596fff36fcf613aedd2e02830f","openml_hutsof99_logis","mlr","regr.svm","Quality",8,70,"regr.svm radial",14.2575,49.04,0.113799754515168,3,1,0,3,0,0,82.2376,9.0685,6.9544,0.2542,0.184920473083197
"4dcc8fe6629db47e7c7a50373b8ea82e","openml_hutsof99_logis","mlr","regr.plsr","Quality",8,70,"regr.plsr kernelpls",14.2575,49.04,0.113799754515168,3,1,0,3,0,0,79.8056,8.9334,7.2056,0.2461,0.182165579119086
"6a63083745cf7bff56ac343a232cf632","openml_hutsof99_logis","mlr","regr.svm","Quality",8,70,"regr.svm polynomial",14.2575,49.04,0.113799754515168,3,1,0,3,0,0,86.7477,9.3138,7.1244,0.2444,0.18992251223491
